iter	Passed	Remaining
0	52	78257
1	54	41080
2	55	27871
3	58	21707
4	60	18049
5	62	15620
6	65	13961
7	66	12429
8	67	11211
9	68	10257
10	71	9646
11	74	9225
12	75	8657
13	79	8440
14	81	8095
15	84	7798
16	85	7460
17	87	7233
18	89	7004
19	92	6820
20	94	6665
21	96	6489
22	99	6360
23	100	6153
24	101	6011
25	103	5844
26	105	5735
27	105	5570
28	108	5486
29	109	5388
30	112	5317
31	114	5246
32	116	5167
33	118	5110
34	120	5027
35	122	4967
36	123	4898
37	125	4831
38	127	4774
39	129	4728
40	131	4675
41	133	4628
42	135	4593
43	137	4547
44	139	4516
45	141	4472
46	142	4417
47	143	4345
48	144	4285
49	146	4255
50	149	4236
51	151	4209
52	152	4172
53	154	4147
54	156	4113
55	158	4090
56	160	4068
57	162	4042
58	165	4042
59	167	4024
60	168	3982
61	169	3930
62	171	3907
63	172	3880
64	175	3865
65	177	3848
66	179	3830
67	181	3814
68	182	3789
69	186	3806
70	188	3802
71	191	3790
72	193	3780
73	195	3768
74	197	3758
75	200	3752
76	202	3750
77	205	3745
78	207	3736
79	209	3719
80	211	3702
81	213	3692
82	215	3676
83	217	3665
84	219	3658
85	221	3645
86	224	3638
87	225	3621
88	227	3609
89	229	3598
90	231	3586
91	233	3574
92	235	3564
93	237	3555
94	239	3541
95	241	3530
96	243	3520
97	245	3511
98	247	3500
99	249	3489
100	251	3477
101	252	3465
102	253	3441
103	255	3428
104	257	3418
105	259	3407
106	261	3402
107	263	3390
108	264	3375
109	266	3367
110	268	3360
111	270	3349
112	271	3331
113	273	3324
114	275	3315
115	277	3305
116	278	3297
117	280	3283
118	282	3275
119	284	3269
120	286	3261
121	286	3240
122	287	3223
123	288	3204
124	290	3194
125	290	3173
126	293	3172
127	295	3169
128	297	3164
129	299	3158
130	301	3146
131	303	3140
132	305	3135
133	307	3132
134	309	3125
135	312	3135
136	315	3137
137	317	3130
138	319	3124
139	321	3119
140	323	3114
141	325	3109
142	326	3100
143	328	3094
144	330	3084
145	332	3079
146	334	3076
147	336	3070
148	338	3065
149	339	3057
150	340	3043
151	342	3037
152	344	3029
153	346	3026
154	348	3020
155	349	3013
156	351	3007
157	353	3002
158	355	2995
159	357	2990
160	359	2986
161	361	2983
162	363	2977
163	364	2973
164	366	2965
165	368	2959
166	369	2949
167	371	2942
168	372	2935
169	374	2932
170	376	2929
171	378	2923
172	379	2913
173	381	2906
174	383	2903
175	385	2896
176	386	2889
177	388	2884
178	390	2879
179	391	2870
180	392	2860
181	394	2856
182	396	2852
183	398	2848
184	400	2844
185	402	2842
186	404	2841
187	406	2835
188	407	2829
189	409	2825
190	411	2822
191	413	2819
192	415	2815
193	417	2812
194	419	2809
195	422	2807
196	423	2801
197	425	2799
198	427	2796
199	429	2792
200	431	2787
201	432	2779
202	434	2776
203	437	2782
204	440	2781
205	442	2780
206	445	2781
207	447	2777
208	448	2772
209	450	2770
210	454	2774
211	455	2768
212	457	2763
213	459	2760
214	461	2756
215	462	2751
216	464	2747
217	466	2742
218	468	2740
219	472	2749
220	474	2747
221	479	2757
222	482	2762
223	485	2764
224	486	2755
225	488	2752
226	490	2750
227	492	2749
228	495	2749
229	497	2749
230	500	2747
231	503	2749
232	506	2755
233	509	2756
234	511	2752
235	513	2748
236	515	2744
237	516	2741
238	520	2748
239	523	2749
240	526	2749
241	528	2746
242	530	2743
243	535	2758
244	538	2756
245	540	2753
246	542	2750
247	544	2748
248	546	2745
249	548	2740
250	549	2736
251	551	2732
252	553	2727
253	555	2723
254	556	2715
255	558	2711
256	560	2709
257	561	2702
258	562	2693
259	563	2688
260	565	2686
261	567	2681
262	568	2674
263	570	2671
264	573	2671
265	574	2666
266	575	2658
267	576	2650
268	578	2646
269	580	2643
270	581	2638
271	583	2636
272	585	2631
273	587	2628
274	588	2623
275	590	2620
276	591	2612
277	593	2609
278	595	2606
279	597	2603
280	599	2598
281	600	2595
282	602	2590
283	603	2585
284	605	2581
285	607	2579
286	609	2577
287	612	2576
288	614	2572
289	615	2566
290	617	2563
291	618	2558
292	620	2555
293	621	2550
294	623	2548
295	626	2546
296	627	2542
297	629	2538
298	631	2536
299	632	2528
300	634	2525
301	635	2522
302	637	2518
303	639	2515
304	641	2514
305	643	2510
306	644	2506
307	646	2503
308	649	2502
309	651	2500
310	653	2499
311	655	2494
312	657	2492
313	659	2489
314	661	2488
315	663	2485
316	665	2483
317	667	2479
318	668	2474
319	669	2467
320	671	2465
321	673	2462
322	674	2458
323	676	2454
324	677	2451
325	679	2448
326	681	2443
327	682	2440
328	683	2434
329	685	2430
330	687	2427
331	689	2424
332	690	2421
333	692	2417
334	694	2413
335	695	2409
